nes_Mild_vs_Control	fdr_Mild_vs_Control	nes_Moderate_vs_Mild	fdr_Moderate_vs_Mild	nes_Severe_vs_Moderate	fdr_Severe_vs_Moderate
ZNF382	1	1	1	1	1	1
ZNF383	1	1	1	1	1	1
ZNF384	1	1	1	1	1	1
ZNF395	1	1	1	1	1	1
ZNF398	1	1	1	1	1	1
ZNF410	1	1	1	1	1	1
ZNF417	1	1	1	1	1	1
ZNF419	1	1	1	1	1	1
ZNF423	1	1	1	1	1	1
ZNF431	1	1	1	1	1	1
ZNF436	1	1	1	1	1	1
ZNF444	1	1	1	1	1	1
ZNF451	1	1	1	1	1	1
ZNF461	1	1	1	1	1	1
ZNF492	1	1	1	1	1	1
ZNF503	1	1	1	1	1	1
ZNF512B	1	1	1	1	1	1
ZNF513	1	1	1	1	1	1
ZNF521	1	1	1	1	1	1
ZNF569	1	1	1	1	1	1
ZNF571	1	1	1	1	1	1
ZNF652	1	1	1	1	1	1
ZNF653	1	1	1	1	1	1
ZNF667	1	1	1	1	1	1
ZNF671	1	1	1	1	1	1
ZNF692	1	1	1	1	1	1
ZNF699	0.0979559945585906	0.977553069850791	0.636300892123431	0.734256699907699	2.31987605058438	0.117213609246478
ZNF711	1	1	1	1	1	1
ZNF746	1	1	1	1	1	1
ZNF750	1	1	1	1	1	1
ZNF76	1	1	1	1	1	1
ZNF77	1	1	1	1	1	1
ZNF79	1	1	1	1	1	1
ZNF8	1	1	1	1	1	1
ZNF804A	-0.783478716744382	0.804903355899697	-0.75700305569322	0.677502592186843	0.959794744575097	0.584744062724199
ZNF85	1	1	1	1	1	1
ZNF91	-2.03274693450708	0.311270024030699	0.61544403572411	0.744788718602438	-0.260939554861269	0.894957563924933
ZSCAN10	1	1	1	1	1	1
ZSCAN18	1	1	1	1	1	1
ZSCAN21	1	1	1	1	1	1
ZSCAN26	1	1	1	1	1	1
ZSCAN9	1	1	1	1	1	1
ZXDA	1	1	1	1	1	1
ZXDC	1	1	1	1	1	1
